file_path;concept_name;pattern;match_type;matched_text;similarity_score;first_line
docs/lowercase_filter.py;/classiq/open_library.functions.state_preparation.prepare_int;N/A;summary;This code is part of a Qiskit project. (C) Copyright IBM 2021, 2023. This code is licensed under the Apache License, Version 2.0. You may obtain a cop...;0.6942;0
docs/lowercase_filter.py;/pennylane/pennylane.templates.layers.gate_fabric.GateFabric;Variational Quantum Algorithm (VQA);summary;This code is part of a Qiskit project. (C) Copyright IBM 2021, 2023. This code is licensed under the Apache License, Version 2.0. You may obtain a cop...;0.6782;0
docs/lowercase_filter.py;/classiq/open_library.functions.qsvt.qsvt_lcu;Domain Specific Application;summary;This code is part of a Qiskit project. (C) Copyright IBM 2021, 2023. This code is licensed under the Apache License, Version 2.0. You may obtain a cop...;0.6772;0
docs/lowercase_filter.py;/classiq/open_library.functions.state_preparation.inplace_prepare_int;N/A;summary;This code is part of a Qiskit project. (C) Copyright IBM 2021, 2023. This code is licensed under the Apache License, Version 2.0. You may obtain a cop...;0.6753;0
docs/lowercase_filter.py;/qiskit/qiskit.circuit.library.arithmetic.quadratic_form.QuadraticFormGate;Quantum Arithmetic;summary;This code is part of a Qiskit project. (C) Copyright IBM 2021, 2023. This code is licensed under the Apache License, Version 2.0. You may obtain a cop...;0.6695;0
docs/lowercase_filter.py;/pennylane/pennylane.templates.layers.cv_neural_net.CVNeuralNetLayers;Quantum Neural Network (QNN);summary;This code is part of a Qiskit project. (C) Copyright IBM 2021, 2023. This code is licensed under the Apache License, Version 2.0. You may obtain a cop...;0.6690;0
docs/lowercase_filter.py;/classiq/open_library.functions.modular_exponentiation.c_modular_multiply;Quantum Arithmetic;summary;This code is part of a Qiskit project. (C) Copyright IBM 2021, 2023. This code is licensed under the Apache License, Version 2.0. You may obtain a cop...;0.6679;0
docs/lowercase_filter.py;/classiq/open_library.functions.discrete_sine_cosine_transform.qct_type2;Basis Change;summary;This code is part of a Qiskit project. (C) Copyright IBM 2021, 2023. This code is licensed under the Apache License, Version 2.0. You may obtain a cop...;0.6675;0
docs/lowercase_filter.py;/classiq/open_library.functions.discrete_sine_cosine_transform.qst_type2;Basis Change;summary;This code is part of a Qiskit project. (C) Copyright IBM 2021, 2023. This code is licensed under the Apache License, Version 2.0. You may obtain a cop...;0.6672;0
docs/lowercase_filter.py;/classiq/open_library.functions.qsvt.qsvt;Domain Specific Application;summary;This code is part of a Qiskit project. (C) Copyright IBM 2021, 2023. This code is licensed under the Apache License, Version 2.0. You may obtain a cop...;0.6657;0
