file_path;pattern_sequence
torchquantum/sec1_basic.py;Variational Quantum Algorithm (VQA)
torchquantum/sec2_gate.py;Variational Quantum Algorithm (VQA)
qiskit-algorithms/docs/tutorials/13_trotterQRTE.py;Hamiltonian Simulation
qiskit-algorithms/docs/tutorials/06_grover.py;Oracle -> Grover -> Amplitude Amplification
qiskit-algorithms/docs/tutorials/07_grover_examples.py;Oracle
qiskit-machine-learning/docs/tutorials/03_quantum_kernel.py;Data Encoding
qiskit-machine-learning/docs/tutorials/07_pegasos_qsvc.py;Data Encoding
qiskit-machine-learning/docs/tutorials/05_torch_connector.py;Data Encoding
qiskit-machine-learning/docs/tutorials/02_neural_network_classifier_and_regressor.py;Data Encoding -> Quantum Approximate Optimization Algorithm (QAOA)
qiskit-machine-learning/docs/tutorials/01_neural_networks.py;Quantum Approximate Optimization Algorithm (QAOA) -> Quantum Neural Network (QNN)
qiskit-machine-learning/docs/tutorials/02a_training_a_quantum_model_on_a_real_dataset.py;Data Encoding
qiskit-machine-learning/docs/tutorials/08_quantum_kernel_trainer.py;Data Encoding
qiskit-machine-learning/docs/tutorials/10_effective_dimension.py;Data Encoding
qiskit-machine-learning/docs/tutorials/11_quantum_convolutional_neural_networks.py;Data Encoding
qiskit-addon-cutting/docs/how-tos/how_to_provide_multiple_observables.py;Variational Quantum Algorithm (VQA)
catalyst/demos/qml/tutorial_learningshallow.py;Quantum Approximate Optimization Algorithm (QAOA)
catalyst/demos/qml/tutorial_qft_arithmetics.py;Phase Shift -> Grover -> Basis Change -> Data Encoding -> Quantum Arithmetic
squlearn/examples/qnn/example_qcnn_encoding_circuit.py;Data Encoding -> Quantum Approximate Optimization Algorithm (QAOA) -> Variational Quantum Algorithm (VQA)
squlearn/examples/encoding_circuits/various_encoding_circuit.py;Variational Quantum Algorithm (VQA)
tensorcircuit-ng/docs/source/tutorials/nnvqe_cn.py;Quantum Neural Network (QNN)
tensorcircuit-ng/docs/source/tutorials/qaoa_nae3sat.py;Quantum Approximate Optimization Algorithm (QAOA)
tensorcircuit-ng/docs/source/tutorials/nnvqe.py;Quantum Neural Network (QNN)
tensorcircuit-ng/docs/source/tutorials/qaoa_bo.py;Quantum Approximate Optimization Algorithm (QAOA)
tensorcircuit-ng/docs/source/tutorials/qaoa.py;Quantum Approximate Optimization Algorithm (QAOA)
tensorcircuit-ng/docs/source/tutorials/mera.py;Quantum Neural Network (QNN)
tensorcircuit-ng/docs/source/tutorials/circuit_qudit_basics.py;Variational Quantum Algorithm (VQA)
tensorcircuit-ng/docs/source/tutorials/mera_cn.py;Quantum Neural Network (QNN)
tensorcircuit-ng/docs/source/tutorials/qml_scenarios.py;Quantum Approximate Optimization Algorithm (QAOA)
qiskit-optimization/docs/tutorials/04_grover_optimizer.py;Grover
qiskit-optimization/docs/tutorials/06_examples_max_cut_and_tsp.py;Circuit Construction Utility
torchquantum/examples/QCE22_tutorial/sec1_basic.py;Variational Quantum Algorithm (VQA)
torchquantum/examples/QCE22_tutorial/sec2_gate.py;Variational Quantum Algorithm (VQA)
torchquantum/examples/quanvolution/quanvolution.py;Variational Quantum Algorithm (VQA)
torchquantum/examples/ICCAD22_tutorial/sec1_basic.py;Variational Quantum Algorithm (VQA)
torchquantum/examples/ICCAD22_tutorial/sec3_gate.py;Variational Quantum Algorithm (VQA)
qiskit-finance/docs/tutorials/00_amplitude_estimation.py;Quantum Phase Estimation (QPE) -> Domain Specific Application
qiskit-finance/docs/tutorials/09_credit_risk_analysis.py;Quantum Arithmetic -> Domain Specific Application
qiskit-finance/docs/tutorials/07_asian_barrier_spread_pricing.py;Quantum Arithmetic
qiskit-finance/docs/tutorials/01_portfolio_optimization.py;Variational Quantum Algorithm (VQA)
qiskit-finance/docs/tutorials/10_qgan_option_pricing.py;Variational Quantum Algorithm (VQA)
qiskit-finance/docs/tutorials/06_basket_option_pricing.py;Quantum Arithmetic -> Domain Specific Application
qiskit-finance/docs/tutorials/02_portfolio_diversification.py;Variational Quantum Algorithm (VQA)
Qualtran/qualtran/Adjoint.py;Quantum Logical Operators
Qualtran/dev_tools/ui-export.py;Quantum Arithmetic
Qualtran/qualtran/resource_counting/call_graph.py;Quantum Logical Operators
Qualtran/qualtran/simulation/tensor.py;Quantum Logical Operators
Qualtran/qualtran/simulation/MBUC.py;Quantum Logical Operators
Qualtran/qualtran/cirq_interop/t_complexity.py;Quantum Logical Operators
Qualtran/qualtran/cirq_interop/cirq_interop.py;Quantum Arithmetic
Qualtran/qualtran/surface_code/msft_resource_estimator_interop.py;Quantum Arithmetic
Qualtran/qualtran/_infra/Bloqs-Tutorial.py;Quantum Arithmetic
Qualtran/qualtran/bloqs/block_encoding/block_encoding.py;Data Encoding
Qualtran/qualtran/bloqs/block_encoding/linear_combination.py;Data Encoding
Qualtran/qualtran/bloqs/block_encoding/tensor_product.py;Data Encoding
Qualtran/qualtran/bloqs/swap_network/swap_network.py;Circuit Construction Utility
Qualtran/qualtran/bloqs/qft/qft_phase_gradient.py;Basis Change
Qualtran/qualtran/bloqs/qft/qft_text_book.py;Basis Change
Qualtran/qualtran/bloqs/phase_estimation/kaiser_window_state.py;Quantum Phase Estimation (QPE)
Qualtran/qualtran/bloqs/phase_estimation/phase_estimation_of_quantum_walk.py;Basis Change
Qualtran/qualtran/bloqs/phase_estimation/text_book_qpe.py;Quantum Phase Estimation (QPE)
