GitHub Multilanguage Quantum Projects Search Summary
====================================================
Summary generated on: 2026-04-13 21:54:43
Languages targeted: julia, c++, rust, java, javascript, typescript, q#, go, haskell, scala, matlab, fortran

--- Overall Statistics ---
Total unique projects found (candidates): 790
Projects filtered out:                    752
Final projects considered for analysis:   38

--- Filtered-Out Projects ---
Repository                                                                           Reason for Filtering
------------------------------------------------------------------------------------------------------------------------------
0u44/Rust-QRNG                                                                       Not enough stars (4 < 30)
0xhokugava/quantum_lab                                                               Not enough stars (9 < 30)
0xSooki/qcs                                                                          Not enough stars (0 < 30)
108mk/108mk.github.io                                                                Not enough stars (1 < 30)
10d9e/qsim                                                                           Not enough stars (0 < 30)
4shil/Qubyts                                                                         Not enough stars (0 < 30)
8b-is/smart-tree                                                                     Not enough contributors (4 < 10)
aalexkingg/quantum-comp-algorithms                                                   Not enough stars (0 < 30)
aarontrowbridge/qoc-experiments-proto                                                Not enough stars (4 < 30)
aayes89/jQuantumSimulator                                                            Not enough stars (1 < 30)
adamisntdead/qics                                                                    Not enough stars (6 < 30)
AdaptiveIntelligenceCircle/AIC-Quantum                                               Not enough stars (1 < 30)
adimaini/algorithms                                                                  Not enough stars (1 < 30)
Aditya11211/Lichen-Universe-Unified                                                  Not enough stars (0 < 30)
Aeonmi-Aysa/aeonmi                                                                   Not enough stars (1 < 30)
aevov/acl-3.0                                                                        Not enough stars (0 < 30)
aevov/apl-open-core                                                                  Not enough stars (0 < 30)
aevov/httq-proto                                                                     Not enough stars (0 < 30)
aevov/lucia-browser                                                                  Not enough stars (0 < 30)
aevov/quantum-mesh-sdk                                                               Not enough stars (0 < 30)
afedyanin/quantum-algo                                                               Not enough stars (0 < 30)
AFOEK/Shors_Classic                                                                  Not enough stars (0 < 30)
AIrvenRichardson/Quirk2Qiskit                                                        Not enough stars (1 < 30)
AIT-Research-Group/Path-Planning-Optimal-for-AUVs-Quantum-Optimization-Algorithm     Not enough stars (2 < 30)
akunna1/Quantum-Computing-SPA                                                        Not enough stars (0 < 30)
Akzestia/quantum-dev                                                                 Not enough stars (0 < 30)
aldenowang/qubit_synth                                                               Not enough contributors (2 < 10)
alex180500/QuantumReservoirComputing.jl                                              Not enough stars (1 < 30)
Alexisdevpro/Threshold-re-encryption                                                 Not enough stars (0 < 30)
alvesmariadefatima/quantum-quiz-game                                                 Not enough stars (2 < 30)
alzweidi/ket                                                                         Not enough stars (3 < 30)
amazon-braket/Braket.jl                                                              Inactive since 2024-11-28
AmitGupta7580/Quantum_Simulator                                                      Not enough stars (2 < 30)
AmorBielyi/qiskit-simulator-win-mvs                                                  Not enough stars (0 < 30)
andycwilliams/AI-Did-It-Myself                                                       Not enough stars (0 < 30)
antonykamp/CropperDot                                                                Archived repository
anuragshirolkar/quantum-circuit-simulator                                            Not enough stars (0 < 30)
Apozzi/jsquantum-simulator                                                           Not enough stars (0 < 30)
appleroll/qucom                                                                      Not enough stars (0 < 30)
AqueductHub/aqueductcore                                                             Archived repository
arhamaneeq/iiti-qc-qmap                                                              Not enough stars (0 < 30)
arhamaneeq/qc-StateVectorSimulator                                                   Not enough stars (0 < 30)
aromanro/QCSim                                                                       Not enough contributors (1 < 10)
AroosaIjaz/AroosaIjaz.github.io                                                      Not enough stars (2 < 30)
ascender1729/QuantumWaste                                                            Not enough stars (4 < 30)
asimakiskydros/QOLE                                                                  Not enough stars (1 < 30)
asimakiskydros/QuaCiDe                                                               Not enough stars (1 < 30)
AsithaIndrajith/qml-deadlines                                                        Not enough stars (0 < 30)
Asmodeus14/qclang                                                                    Not enough stars (2 < 30)
assombrance/Quantomatic                                                              Not enough stars (0 < 30)
at2005/HODL                                                                          Not enough stars (11 < 30)
AtelierArith/Kyulacs.jl                                                              Not enough stars (10 < 30)
AtelierArith/Kyuri.jl                                                                Not enough stars (2 < 30)
att/qujata                                                                           Archived repository
attila-kun/bloch                                                                     Not enough stars (12 < 30)
atytgat/quantum-simulation                                                           Not enough stars (3 < 30)
avalon-lang/avaloni                                                                  Not enough stars (23 < 30)
avd1729/Q-Chat                                                                       Not enough stars (0 < 30)
AveryanAlex/quantpiler                                                               Not enough stars (14 < 30)
Aveygo/JsNewHope                                                                     Not enough stars (1 < 30)
aviggiano/qcl                                                                        Inactive since 2018-01-13
awennersteen/awennersteen.github.io                                                  Not enough stars (0 < 30)
aws-cqc/DeviceLayout.jl                                                              Not enough contributors (9 < 10)
awshammad04/AJ                                                                       Not enough stars (1 < 30)
BaderTim/education-platform-for-quantum-cryptography                                 Not enough stars (1 < 30)
bajtos/2019-QuantumIntro                                                             Archived repository
bakaq/quantum-simulator                                                              Not enough stars (0 < 30)
bakil309275-cell/Alaisai-OS-Pro-Quantum-v3.0                                         Not enough stars (1 < 30)
barrettotte/Qsharp-2020                                                              Not enough stars (2 < 30)
BathSalt-2/AeonicNet                                                                 Not enough stars (1 < 30)
BathSalt-2/QuantumMind                                                               Not enough stars (5 < 30)
baylesa-dev/SolacedQuantum                                                           Not enough stars (0 < 30)
BBN-Q/QGL.jl                                                                         Not enough stars (13 < 30)
BBN-Q/QSimulator.jl                                                                  Not enough stars (28 < 30)
beehive-lab/TornadoQSim                                                              Not enough stars (17 < 30)
BenjaminDecker/QuantumGameOfLife.jl                                                  Not enough stars (7 < 30)
bercesadam/QuantumCircuitsinCompiler                                                 Not enough stars (2 < 30)
bernwo/QuantumCircuitLAB                                                             Not enough stars (4 < 30)
bhanukaranwal/Quantum-Arb                                                            Not enough stars (7 < 30)
bhojpur/ode                                                                          Not enough stars (2 < 30)
Bigdata-HPC-Lab/ScaleQsim                                                            Not enough stars (3 < 30)
bikunli/QStimLAB                                                                     Not enough stars (0 < 30)
Bit-Nation/BITNATION-Panthalassa                                                     Not enough stars (3 < 30)
bits-and-electrons/bloch-sphere-simulator                                            Not enough stars (25 < 30)
BlackRoad-Archive/blackroadquantum-shop                                              Not enough stars (0 < 30)
BlackRoad-OS-Inc/blackroadquantum.com                                                Archived repository
BlackRoad-OS-Inc/blackroadquantum.info                                               Archived repository
BlackRoad-OS-Inc/blackroadquantum.net                                                Archived repository
BlackRoad-OS-Inc/blackroadquantum.shop                                               Archived repository
BlackRoad-OS-Inc/blackroadquantum.store                                              Archived repository
BOBO1997/libs_qrem                                                                   Not enough stars (12 < 30)
boschmitt/tweedledum                                                                 Inactive since 2023-07-13
brenoepics/QSharp-Rand                                                               Not enough stars (3 < 30)
bsc-quantic/Gato.jl                                                                  Not enough stars (1 < 30)
bsc-quantic/Quac.jl                                                                  Not enough stars (4 < 30)
bubbajoe/Artificial-Qubits                                                           Archived repository
buffer-Studio/Hello-Quantum                                                          Not enough stars (0 < 30)
BuildersArk/qobserva                                                                 Not enough stars (2 < 30)
Bullzane/spank                                                                       Not enough stars (2 < 30)
camsenec/qa-emulator                                                                 Not enough stars (5 < 30)
camsenec/qasim                                                                       Archived repository
caps-tum/HiPARS                                                                      Not enough stars (6 < 30)
CapstoneProjectQPP/QuantumPermutationPad                                             Not enough stars (0 < 30)
capybara0-0/Quantum-Computing-Qsharp                                                 Not enough stars (0 < 30)
CarloWood/quantum                                                                    Not enough stars (5 < 30)
CastanedaNetworks/quantum-circuit-simulator                                          Not enough stars (1 < 30)
cda-tum/dd_package                                                                   Archived repository
cda-tum/mqt-misim                                                                    Not enough stars (17 < 30)
cda-tum/zx                                                                           Archived repository
cdberkstresser/QuantumCircuitDesigner                                                Not enough stars (0 < 30)
cduck/zx-calculator                                                                  Not enough stars (11 < 30)
cedoor/qdsl                                                                          Not enough stars (1 < 30)
Cerrudoxx/ComputaexQuantumBenchmark                                                  Not enough stars (0 < 30)
cevenkadir/SymBasis.jl                                                               Not enough stars (4 < 30)
chaeyeunpark/UnionFind                                                               Not enough stars (29 < 30)
chakravala/Grassmann.jl                                                              Not enough contributors (7 < 10)
chamiyeah/Quantum-Rnadom-Number-Generator                                            Not enough stars (1 < 30)
chamiyeah/Secure-Key-Sharing-with-Quantum-Key-Distribution-Protocol---BBM92          Not enough stars (2 < 30)
charles-fox/qcf                                                                      Not enough stars (16 < 30)
christopher-altman/christopher-altman.github.io                                      Not enough stars (2 < 30)
chrsow/quantum-era-eth-exploit                                                       Not enough stars (0 < 30)
chtnnhfndn/chtnnhfndn.github.io                                                      Not enough stars (0 < 30)
ciphernom/midstate                                                                   Not enough stars (1 < 30)
cirKITers/masKIT-presentation                                                        Not enough stars (0 < 30)
cl91/nqes-trapped-ion                                                                Not enough stars (2 < 30)
ClaudioRMalvino/Quantum-Circuit-Simulator                                            Not enough stars (1 < 30)
CloudQuantumSim/CloudQSim.jl                                                         Not enough stars (4 < 30)
Cloudslab/iQuantum                                                                   Not enough contributors (2 < 10)
colescott/quantum-interpreter                                                        Not enough stars (1 < 30)
cool-japan/quantrs                                                                   Not enough stars (2 < 30)
coralmw/path-integral-quantum-simulator                                              Not enough stars (0 < 30)
coreyleung-art/sect-alliance-sdk                                                     Not enough stars (0 < 30)
CrissNamon/soldeea                                                                   Archived repository
cristian-5/Spin                                                                      Not enough stars (3 < 30)
CrystalToe/CrystalAgent                                                              Not enough stars (0 < 30)
cs-joy/quantum-computing                                                             Not enough stars (0 < 30)
csnp/cryptodeps                                                                      Not enough stars (3 < 30)
csnp/cryptoscan                                                                      Not enough stars (6 < 30)
csnp/tls-analyzer                                                                    Not enough stars (3 < 30)
CTC-Kernel/aion-os                                                                   Not enough stars (1 < 30)
cyberia-to/trident                                                                   Not enough stars (7 < 30)
d-drozhzhin/qvnt                                                                     Not enough stars (17 < 30)
d-drozhzhin/qvnt-i                                                                   Not enough stars (6 < 30)
Daksh-Shami/Qitara                                                                   Not enough stars (5 < 30)
DaniAkash/Qubits-and-Quantum-Mechanics-Explained                                     Archived repository
Danicar5551/pqc-check                                                                Not enough stars (0 < 30)
daniel-fink-de/qurest                                                                Not enough stars (0 < 30)
danila-permogorskii/markov-quantum-walks                                             Not enough stars (0 < 30)
dansholds/ngmi                                                                       Not enough stars (1 < 30)
Dark-CodeX/qubitverse                                                                Not enough stars (10 < 30)
davidbkemp/animated-qubits                                                           Not enough stars (13 < 30)
DazKins/qcfundamentals                                                               Not enough stars (1 < 30)
DazKins/qubit-simulator                                                              Not enough stars (0 < 30)
Deacon2099/quantum-sim-engine                                                        Not enough stars (1 < 30)
default741/how-to-be-boring                                                          Not enough stars (0 < 30)
degan/pqready                                                                        Not enough stars (1 < 30)
dennislee928/Feeder-of-the-Future-Prize                                              Not enough stars (2 < 30)
dennislee928/Mutual-MCP-Penetrating-Platform                                         Not enough stars (4 < 30)
djleamen/q-sharp-practice                                                            Not enough stars (1 < 30)
Domino881/Quantum-Simulator                                                          Not enough stars (0 < 30)
doomhammerhell/OpenQASMCompiler                                                      Not enough stars (1 < 30)
DorianCoding/PQX                                                                     Not enough stars (0 < 30)
Dpbm/qserver                                                                         Not enough stars (2 < 30)
Dpbm/qsharp-tests                                                                    Not enough stars (0 < 30)
dqdang/grover-algorithm                                                              Not enough stars (1 < 30)
drewsilcock/quest-rs                                                                 Not enough stars (5 < 30)
drewsilcock/quest-rs-template                                                        Not enough stars (0 < 30)
DRovara/Qhoir                                                                        Not enough stars (1 < 30)
drpeterrohde/Jabalizer                                                               Not enough stars (1 < 30)
dtquantumc-zz/quantumKit                                                             Not enough stars (2 < 30)
dynexcoin/Dynex                                                                      Inactive since 2024-04-02
EarlOld/QAOA-quantum.js                                                              Not enough stars (0 < 30)
