file_path;concept_name;pattern;match_type;matched_text;similarity_score;first_line
intel-qs/examples/benchgates.cpp;/qiskit/qiskit.circuit.library.data_preparation.initializer.Initialize;Initialization;name;Initialize;1.0000;118
intel-qs/examples/circuit_with_noise_gates.cpp;/qiskit/qiskit.circuit.library.data_preparation.initializer.Initialize;Initialization;name;Initialize;1.0000;106
intel-qs/examples/noise_via_chi_matrix.cpp;/qiskit/qiskit.circuit.library.data_preparation.initializer.Initialize;Initialization;name;Initialize;1.0000;107
intel-qs/examples/quantum_fourier_transform.cpp;/qiskit/qiskit.circuit.library.data_preparation.initializer.Initialize;Initialization;name;Initialize;1.0000;207
intel-qs/examples/quantum_fourier_transform.cpp;/classiq/open_library.functions.qft_functions.qft;Basis Change;name;qft;1.0000;216
intel-qs/examples/quantum_fourier_transform.cpp;/pennylane/pennylane.templates.subroutines.qft.QFT;Basis Change;name;qft;1.0000;216
intel-qs/examples/quantum_fourier_transform.cpp;/qiskit/qiskit.circuit.library.basis_change.qft.QFT;Basis Change;name;qft;1.0000;216
intel-qs/examples/test_of_custom_gates.cpp;/qiskit/qiskit.circuit.library.data_preparation.initializer.Initialize;Initialization;name;Initialize;1.0000;117
qpp/examples/circuits/hhl_circuit.cpp;/classiq/open_library.functions.qft_functions.qft;Basis Change;name;QFT;1.0000;118
qpp/examples/circuits/hhl_circuit.cpp;/pennylane/pennylane.templates.subroutines.qft.QFT;Basis Change;name;QFT;1.0000;118
qpp/examples/circuits/hhl_circuit.cpp;/qiskit/qiskit.circuit.library.basis_change.qft.QFT;Basis Change;name;QFT;1.0000;118
qpp/examples/circuits/qpe_circuit.cpp;/classiq/open_library.functions.qpe.qpe_flexible;Quantum Phase Estimation (QPE);summary;Source: ./examples/circuits/qpe_circuit.cpp Quantum phase estimation quantum circuit simulator See also ./examples/qpe.cpp for a low-level API example...;0.8062;0
qpp/examples/circuits/qpe_circuit.cpp;/classiq/open_library.functions.qpe.qpe;Quantum Phase Estimation (QPE);summary;Source: ./examples/circuits/qpe_circuit.cpp Quantum phase estimation quantum circuit simulator See also ./examples/qpe.cpp for a low-level API example...;0.7766;0
qpp/examples/circuits/qpe_circuit.cpp;/qiskit-algorithms/qiskit_algorithms.amplitude_estimators.ae.AmplitudeEstimation;Quantum Amplitude Estimation;summary;Source: ./examples/circuits/qpe_circuit.cpp Quantum phase estimation quantum circuit simulator See also ./examples/qpe.cpp for a low-level API example...;0.6587;0
qpp/examples/circuits/qpe_circuit.cpp;/qiskit-algorithms/qiskit_algorithms.phase_estimators.hamiltonian_phase_estimation.HamiltonianPhaseEstimation;Quantum Phase Estimation (QPE);summary;Source: ./examples/circuits/qpe_circuit.cpp Quantum phase estimation quantum circuit simulator See also ./examples/qpe.cpp for a low-level API example...;0.6586;0
qpp/examples/circuits/qpe_circuit.cpp;/qiskit-algorithms/qiskit_algorithms.phase_estimators.ipe.IterativePhaseEstimation;Quantum Phase Estimation (QPE);summary;Source: ./examples/circuits/qpe_circuit.cpp Quantum phase estimation quantum circuit simulator See also ./examples/qpe.cpp for a low-level API example...;0.6828;0
qpp/examples/circuits/qpe_circuit.cpp;/qiskit-algorithms/qiskit_algorithms.phase_estimators.phase_estimation.PhaseEstimation;Quantum Phase Estimation (QPE);summary;Source: ./examples/circuits/qpe_circuit.cpp Quantum phase estimation quantum circuit simulator See also ./examples/qpe.cpp for a low-level API example...;0.6716;0
qpp/examples/grover.cpp;/qiskit-algorithms/qiskit_algorithms.amplitude_amplifiers.grover.Grover;Grover;summary;Source: ./examples/grover.cpp Grover's searching number of qubits local dimensions ordered subsystems number of elements in the database mark an eleme...;0.6550;0
qpp/examples/qft.cpp;/classiq/open_library.functions.qft_functions.qft_no_swap;Basis Change;summary;Source: ./examples/qft.cpp Quantum Fourier transform initial state number of qubits dimension 2^n apply Hadamard on qubit 'i' apply controlled rotatio...;0.6891;0
qpp/examples/qpe.cpp;/classiq/open_library.functions.qpe.qpe_flexible;Quantum Phase Estimation (QPE);summary;Source: ./examples/qpe.cpp Quantum phase estimation See also ./examples/circuits/qpe_circuit.cpp for a high-level API example (with a 2-qubit target u...;0.8122;0
qpp/examples/qpe.cpp;/classiq/open_library.functions.qpe.qpe;Quantum Phase Estimation (QPE);summary;Source: ./examples/qpe.cpp Quantum phase estimation See also ./examples/circuits/qpe_circuit.cpp for a high-level API example (with a 2-qubit target u...;0.7906;0
qpp/examples/qpe.cpp;/qiskit-algorithms/qiskit_algorithms.amplitude_estimators.ae.AmplitudeEstimation;Quantum Amplitude Estimation;summary;Source: ./examples/qpe.cpp Quantum phase estimation See also ./examples/circuits/qpe_circuit.cpp for a high-level API example (with a 2-qubit target u...;0.6852;0
qpp/examples/qpe.cpp;/qiskit-algorithms/qiskit_algorithms.phase_estimators.ipe.IterativePhaseEstimation;Quantum Phase Estimation (QPE);summary;Source: ./examples/qpe.cpp Quantum phase estimation See also ./examples/circuits/qpe_circuit.cpp for a high-level API example (with a 2-qubit target u...;0.7398;0
