file_path,concept_name,ground_truth_pattern,similarity_score,predicted_pattern,pred_score,match
qualtran/bloqs/arithmetic/addition.py,Add,Quantum Arithmetic,1.0,Quantum Logical Operators,1.0,0
qualtran/bloqs/arithmetic/bitwise.py,XorK,Quantum Arithmetic,,,,
qualtran/bloqs/arithmetic/comparison.py,LessThanConstant,Quantum Arithmetic,1.0,Quantum Logical Operators,1.0,0
qualtran/bloqs/arithmetic/controlled_add_or_subtract.py,ControlledAddOrSubtract,Quantum Arithmetic,,,,
qualtran/bloqs/arithmetic/controlled_addition.py,CAdd,Quantum Arithmetic,1.0,Quantum Logical Operators,1.0,0
qualtran/bloqs/arithmetic/conversions/contiguous_index.py,ToContiguousIndex,Quantum Arithmetic,,,,
qualtran/bloqs/arithmetic/conversions/ones_complement_to_twos_complement.py,SignedIntegerToTwosComplement,Quantum Arithmetic,,,,
qualtran/bloqs/arithmetic/conversions/sign_extension.py,SignExtend,Quantum Arithmetic,,,,
qualtran/bloqs/arithmetic/hamming_weight.py,HammingWeightCompute,Quantum Arithmetic,1.0,Quantum Logical Operators,1.0,0
qualtran/bloqs/arithmetic/lists/has_duplicates.py,HasDuplicates,Quantum Arithmetic,,,,
qualtran/bloqs/arithmetic/lists/sort_in_place.py,SortInPlace,Quantum Arithmetic,,,,
qualtran/bloqs/arithmetic/lists/symmetric_difference.py,SymmetricDifference,Quantum Arithmetic,,,,
qualtran/bloqs/arithmetic/multiplication.py,PlusEqualProduct,Quantum Arithmetic,,,,
qualtran/bloqs/arithmetic/negate.py,Negate,Quantum Arithmetic,,,,
qualtran/bloqs/arithmetic/permutation.py,PermutationCycle,Quantum Arithmetic,1.0,Circuit Construction Utility,1.0,0
qualtran/bloqs/arithmetic/sorting.py,Comparator,Quantum Arithmetic,,,,
qualtran/bloqs/arithmetic/subtraction.py,Subtract,Quantum Arithmetic,,,,
qualtran/bloqs/arithmetic/trigonometric/arcsin.py,ArcSin,Quantum Arithmetic,,,,
qualtran/bloqs/arithmetic/trigonometric/arctan.py,ArcTan,Quantum Arithmetic,,,,
qualtran/bloqs/basic_gates/cnot.py,CNOT,Circuit Construction Utility,,,,
qualtran/bloqs/basic_gates/discard.py,Discard,Circuit Construction Utility,,,,
qualtran/bloqs/basic_gates/global_phase.py,GlobalPhase,Circuit Construction Utility,,,,
qualtran/bloqs/basic_gates/hadamard.py,Hadamard,Circuit Construction Utility,,,,
qualtran/bloqs/basic_gates/identity.py,Identity,Circuit Construction Utility,,,,
qualtran/bloqs/basic_gates/on_each.py,OnEach,Circuit Construction Utility,,,,
qualtran/bloqs/basic_gates/power.py,Power,Circuit Construction Utility,,,,
qualtran/bloqs/basic_gates/rotation.py,ZPowGate,Circuit Construction Utility,1.0,Quantum Logical Operators,1.0,0
qualtran/bloqs/basic_gates/s_gate.py,SGate,Circuit Construction Utility,,,,
qualtran/bloqs/basic_gates/su2_rotation.py,SU2RotationGate,Circuit Construction Utility,,,,
qualtran/bloqs/basic_gates/swap.py,TwoBitSwap,Circuit Construction Utility,,,,
qualtran/bloqs/basic_gates/t_gate.py,TGate,Circuit Construction Utility,,,,
qualtran/bloqs/basic_gates/toffoli.py,Toffoli,Circuit Construction Utility,,,,
qualtran/bloqs/basic_gates/x_basis.py,_XVector,Circuit Construction Utility,,,,
qualtran/bloqs/basic_gates/y_gate.py,YGate,Circuit Construction Utility,,,,
