file_path;concept_name;pattern;match_type;matched_text;similarity_score;first_line
qualtran/_infra/controlled.py;/pennylane/pennylane.templates.subroutines.arithmetic.adder.Adder;Quantum Arithmetic;name;adder;1.0000;650
qualtran/_infra/controlled.py;/qiskit/qiskit.circuit.library.arithmetic.adders.adder.Adder;Quantum Arithmetic;name;adder;1.0000;650
qualtran/bloqs/arithmetic/addition.py;/qiskit/qiskit.circuit.library.boolean_logic.quantum_and.AND;Quantum Logical Operators;name;And;1.0000;208
qualtran/bloqs/arithmetic/addition_test.py;/qiskit/qiskit.circuit.library.boolean_logic.quantum_and.AND;Quantum Logical Operators;name;And;1.0000;341
qualtran/bloqs/arithmetic/comparison.py;/qiskit/qiskit.circuit.library.boolean_logic.quantum_and.AND;Quantum Logical Operators;name;And;1.0000;901
qualtran/bloqs/arithmetic/controlled_addition.py;/qiskit/qiskit.circuit.library.boolean_logic.quantum_and.AND;Quantum Logical Operators;name;And;1.0000;167
qualtran/bloqs/arithmetic/controlled_addition_test.py;/qiskit/qiskit.circuit.library.boolean_logic.quantum_and.AND;Quantum Logical Operators;name;And;1.0000;133
qualtran/bloqs/arithmetic/hamming_weight.py;/qiskit/qiskit.circuit.library.boolean_logic.quantum_and.AND;Quantum Logical Operators;name;And;1.0000;123
qualtran/bloqs/arithmetic/hamming_weight_test.py;/qiskit/qiskit.circuit.library.boolean_logic.quantum_and.AND;Quantum Logical Operators;name;And;1.0000;29
qualtran/bloqs/arithmetic/permutation.py;/qiskit/qiskit.circuit.library.generalized_gates.permutation.Permutation;Circuit Construction Utility;name;Permutation;1.0000;308
qualtran/bloqs/arithmetic/permutation_test.py;/qiskit/qiskit.circuit.library.boolean_logic.quantum_and.AND;Quantum Logical Operators;name;And;1.0000;96
qualtran/bloqs/arithmetic/sorting_test.py;/qiskit/qiskit.circuit.library.generalized_gates.permutation.Permutation;Circuit Construction Utility;name;permutations;0.9706;136
qualtran/bloqs/basic_gates/power_test.py;/qiskit/qiskit.circuit.library.boolean_logic.quantum_and.AND;Quantum Logical Operators;name;And;1.0000;29
qualtran/bloqs/basic_gates/rotation.py;/qiskit/qiskit.circuit.library.boolean_logic.quantum_and.AND;Quantum Logical Operators;name;And;1.0000;222
qualtran/bloqs/basic_gates/toffoli_test.py;/qiskit/qiskit.circuit.library.boolean_logic.quantum_and.AND;Quantum Logical Operators;name;And;1.0000;109
qualtran/bloqs/basic_gates/x_basis_test.py;/qiskit/qiskit.circuit.library.boolean_logic.quantum_and.AND;Quantum Logical Operators;name;And;1.0000;132
qualtran/bloqs/block_encoding/chebyshev_polynomial.py;/classiq/open_library.functions.grover.reflect_about_zero;Amplitude Amplification;name;reflection_around_zero;0.9078;122
qualtran/bloqs/bookkeeping/always.py;/qiskit/qiskit.circuit.library.boolean_logic.quantum_and.AND;Quantum Logical Operators;name;And;1.0000;100
qualtran/bloqs/chemistry/df/double_factorization.py;/classiq/open_library.functions.grover.reflect_about_zero;Amplitude Amplification;name;reflection_around_zero;0.9078;485
