file_path;concept_name;pattern;match_type;matched_text;similarity_score;first_line
Cirq/cirq-core/cirq/contrib/quimb/Cirq-to-Tensor-Networks.py;/pennylane/pennylane.templates.subroutines.select.Select;Dynamic Circuit;name;select;1.0000;234
OpenFermion/docs/fqe/tutorials/fermi_hubbard.py;/qiskit/qiskit.circuit.library.generalized_gates.diagonal.Diagonal;Circuit Construction Utility;name;diagonal;1.0000;377
Perceval/docs/source/notebooks/Graph_States_Tutorial.py;/qiskit/qiskit.circuit.library.graph_state.GraphState;Circuit Construction Utility;name;graph_state;1.0000;174
Perceval/docs/source/notebooks/Variational_Quantum_Eigensolver.py;/qiskit-algorithms/qiskit_algorithms.minimum_eigensolvers.sampling_vqe.SamplingVQE;Variational Quantum Eigensolver (VQE);summary;!/usr/bin/env python coding: utf-8 Variational Quantum Eigensolver We provide a Perceval implementation  of original photonic Variational Quantum Eige...;0.6594;0
Perceval/docs/source/notebooks/Variational_Quantum_Eigensolver.py;/qiskit-algorithms/qiskit_algorithms.minimum_eigensolvers.vqe.VQE;Variational Quantum Eigensolver (VQE);summary;!/usr/bin/env python coding: utf-8 Variational Quantum Eigensolver We provide a Perceval implementation  of original photonic Variational Quantum Eige...;0.6975;0
Perceval/docs/source/notebooks/quantum_kernel_methods.py;/qiskit_machine_learning/qiskit_machine_learning.algorithms.classifiers.QSVC;SWAP Test;summary;!/usr/bin/env python coding: utf-8 Quantum kernel methods using linear optics This notebook follows closely the theory and implementation of Yin et al...;0.6515;0
ProjectQ/examples/spectral_measurement.py;/qiskit/qiskit.circuit.library.data_preparation.state_preparation.StatePreparation;Initialization;name;StatePreparation;1.0000;171
ProjectQ/examples/variational_quantum_eigensolver.py;/qiskit-algorithms/qiskit_algorithms.minimum_eigensolvers.vqe.VQE;Variational Quantum Eigensolver (VQE);summary;"!/usr/bin/env python coding: utf-8 Implementation of a Variational Quantum Eigensolver (VQE). The example shown here is from the paper ""Scalable Quant...";0.7305;0
Pulser/tutorials/retired/QAOA and QAA to solve a QUBO problem.py;/qiskit-algorithms/qiskit_algorithms.minimum_eigensolvers.qaoa.QAOA;Quantum Approximate Optimization Algorithm (QAOA);summary;!/usr/bin/env python coding: utf-8 QAOA and QAA to solve a QUBO problem In[ ]: 1. Introduction In this tutorial, we illustrate how to solve a Quadrati...;0.6627;0
Qrisp/documentation/source/general/tutorial/BE_tutorial/BE_vol2.py;/pennylane/pennylane.templates.subroutines.qubitization.Qubitization;Data Encoding;name;qubitization;1.0000;63
Qrisp/documentation/source/general/tutorial/BigInteger.py;/classiq/open_library.functions.qft_functions.qft;Basis Change;name;QFT;1.0000;161
Qrisp/documentation/source/general/tutorial/BigInteger.py;/pennylane/pennylane.templates.subroutines.qft.QFT;Basis Change;name;QFT;1.0000;161
Qrisp/documentation/source/general/tutorial/BigInteger.py;/qiskit/qiskit.circuit.library.basis_change.qft.QFT;Basis Change;name;QFT;1.0000;161
Qrisp/documentation/source/general/tutorial/FT_compilation.py;/classiq/open_library.functions.qft_functions.qft;Basis Change;name;QFT;1.0000;281
Qrisp/documentation/source/general/tutorial/FT_compilation.py;/pennylane/pennylane.templates.subroutines.qft.QFT;Basis Change;name;QFT;1.0000;281
Qrisp/documentation/source/general/tutorial/FT_compilation.py;/qiskit/qiskit.circuit.library.basis_change.qft.QFT;Basis Change;name;QFT;1.0000;281
Qrisp/documentation/source/general/tutorial/GQSP_filtering.py;/pennylane/pennylane.templates.subroutines.reflection.Reflection;Grover;name;reflection;1.0000;369
Qrisp/documentation/source/general/tutorial/GQSP_filtering.py;/classiq/open_library.functions.qsvt.gqsp;Domain Specific Application;name;GQSP;1.0000;379
Qrisp/documentation/source/general/tutorial/GQSP_filtering.py;/pennylane/pennylane.templates.subroutines.gqsp.GQSP;Basis Change;name;GQSP;1.0000;379
Qrisp/documentation/source/general/tutorial/HHL.py;/classiq/open_library.functions.qpe.qpe;Quantum Phase Estimation (QPE);name;QPE;1.0000;132
Qrisp/documentation/source/general/tutorial/Jasp.py;/qiskit/qiskit.circuit.library.arithmetic.multipliers.rg_qft_multiplier.RGQFTMultiplier;Quantum Arithmetic;name;RGQFTMultiplier;1.0000;29
Qrisp/documentation/source/general/tutorial/QIROtutorial.py;/qiskit-algorithms/qiskit_algorithms.minimum_eigensolvers.qaoa.QAOA;Quantum Approximate Optimization Algorithm (QAOA);summary;!/usr/bin/env python coding: utf-8 Quantum-Informed Recursive Optimization This tutorial will give you an overview of problem specific implementations...;0.7476;0
Qrisp/documentation/source/general/tutorial/Shor.py;/classiq/open_library.functions.qft_functions.qft;Basis Change;name;QFT;1.0000;171
Qrisp/documentation/source/general/tutorial/Shor.py;/pennylane/pennylane.templates.subroutines.qft.QFT;Basis Change;name;QFT;1.0000;171
Qrisp/documentation/source/general/tutorial/Shor.py;/qiskit/qiskit.circuit.library.basis_change.qft.QFT;Basis Change;name;QFT;1.0000;171
Qrisp/documentation/source/general/tutorial/Sudoku.py;/qiskit/qiskit.circuit.library.phase_estimation.PhaseEstimation;Quantum Phase Estimation (QPE);name;estimate_phase;0.9079;805
Qrisp/documentation/source/general/tutorial/Sudoku.py;/qiskit-algorithms/qiskit_algorithms.phase_estimators.phase_estimation.PhaseEstimation;Quantum Phase Estimation (QPE);name;estimate_phase;0.9079;805
Qrisp/documentation/source/general/tutorial/TSP.py;/classiq/open_library.functions.qpe.qpe;Quantum Phase Estimation (QPE);name;QPE;1.0000;183
Qrisp/documentation/source/general/tutorial/tutorial.py;/classiq/open_library.functions.qft_functions.qft;Basis Change;name;QFT;1.0000;256
Qrisp/documentation/source/general/tutorial/tutorial.py;/pennylane/pennylane.templates.subroutines.qft.QFT;Basis Change;name;QFT;1.0000;256
Qrisp/documentation/source/general/tutorial/tutorial.py;/qiskit/qiskit.circuit.library.basis_change.qft.QFT;Basis Change;name;QFT;1.0000;256
Qrisp/documentation/source/general/tutorial/tutorial.py;/classiq/open_library.functions.qpe.qpe;Quantum Phase Estimation (QPE);name;QPE;1.0000;286
Qualtran/dev_tools/ui-export.py;/pennylane/pennylane.templates.subroutines.arithmetic.mod_exp.ModExp;Quantum Arithmetic;name;ModExp;1.0000;10
Qualtran/qualtran/Adjoint.py;/qiskit/qiskit.circuit.library.boolean_logic.quantum_and.AND;Quantum Logical Operators;name;And;1.0000;92
Qualtran/qualtran/DataTypes.py;/pennylane/pennylane.templates.embeddings.basis.BasisEmbedding;Data Encoding;summary;!/usr/bin/env python coding: utf-8 Data Types Introduction to quantum data: the qubit Qualtran lets you write quantum programs that operate on quantum...;0.6568;0
Qualtran/qualtran/_infra/Bloqs-Tutorial.py;/pennylane/pennylane.templates.subroutines.arithmetic.mod_exp.ModExp;Quantum Arithmetic;name;ModExp;1.0000;592
Qualtran/qualtran/bloqs/arithmetic/permutation.py;/qiskit/qiskit.circuit.library.generalized_gates.permutation.Permutation;Circuit Construction Utility;name;Permutation;1.0000;65
Qualtran/qualtran/bloqs/arithmetic/t_complexity_of_comparison_gates.py;/qiskit/qiskit.circuit.library.boolean_logic.quantum_and.AND;Quantum Logical Operators;name;And;1.0000;191
Qualtran/qualtran/bloqs/basic_gates/rotation.py;/pennylane/pennylane.templates.subroutines.select_pauli_rot.SelectPauliRot;Circuit Construction Utility;summary;!/usr/bin/env python coding: utf-8 Basic Rotation Gates Single-qubit rotation gates. A single qubit's state can be mapped to the Bloch sphere. Rotatio...;0.6514;0
Qualtran/qualtran/bloqs/bookkeeping/always.py;/qiskit/qiskit.circuit.library.boolean_logic.quantum_and.AND;Quantum Logical Operators;name;And;1.0000;61
Qualtran/qualtran/bloqs/chemistry/trotter/grid_ham/trotter_costs.py;/qiskit/qiskit.circuit.library.boolean_logic.quantum_and.AND;Quantum Logical Operators;name;And;1.0000;495
Qualtran/qualtran/bloqs/cryptography/rsa/factoring-via-modexp.py;/pennylane/pennylane.templates.subroutines.arithmetic.mod_exp.ModExp;Quantum Arithmetic;name;ModExp;1.0000;107
Qualtran/qualtran/bloqs/cryptography/rsa/rsa.py;/pennylane/pennylane.templates.subroutines.arithmetic.mod_exp.ModExp;Quantum Arithmetic;name;ModExp;1.0000;72
Qualtran/qualtran/bloqs/data_loading/qrom.py;/pennylane/pennylane.templates.subroutines.qrom.QROM;Data Encoding;name;QROM;1.0000;167
Qualtran/qualtran/bloqs/hamiltonian_simulation/guided_hamiltonian.py;/qiskit-algorithms/qiskit_algorithms.phase_estimators.hamiltonian_phase_estimation.HamiltonianPhaseEstimation;Quantum Phase Estimation (QPE);name;GuidedHamiltonianPhaseEstimation;0.9191;146
Qualtran/qualtran/bloqs/mcmt/and_bloq.py;/qiskit/qiskit.circuit.library.boolean_logic.quantum_and.AND;Quantum Logical Operators;name;And;1.0000;54
Qualtran/qualtran/bloqs/mcmt/multi_control_multi_target_pauli.py;/qiskit/qiskit.circuit.library.generalized_gates.pauli.PauliGate;Circuit Construction Utility;summary;!/usr/bin/env python coding: utf-8 Multi-Paulis In[ ]: `MultiTargetCNOT` Implements single control, multi-target $C[X^{\otimes n}]$ gate. Implements $...;0.6997;0
Qualtran/qualtran/bloqs/multiplexers/unary_iteration.py;/qiskit/qiskit.circuit.library.boolean_logic.quantum_and.AND;Quantum Logical Operators;name;And;1.0000;134
Qualtran/qualtran/bloqs/phase_estimation/phase_estimation_of_quantum_walk.py;/classiq/open_library.functions.qft_functions.qft;Basis Change;name;qft;1.0000;82
Qualtran/qualtran/bloqs/phase_estimation/phase_estimation_of_quantum_walk.py;/pennylane/pennylane.templates.subroutines.qft.QFT;Basis Change;name;qft;1.0000;82
Qualtran/qualtran/bloqs/phase_estimation/phase_estimation_of_quantum_walk.py;/qiskit/qiskit.circuit.library.basis_change.qft.QFT;Basis Change;name;qft;1.0000;82
Qualtran/qualtran/bloqs/phase_estimation/phase_estimation_of_quantum_walk.py;/qiskit/qiskit.circuit.library.phase_estimation.PhaseEstimation;Quantum Phase Estimation (QPE);name;phase_estimation;1.0000;93
Qualtran/qualtran/bloqs/phase_estimation/phase_estimation_of_quantum_walk.py;/qiskit-algorithms/qiskit_algorithms.phase_estimators.phase_estimation.PhaseEstimation;Quantum Phase Estimation (QPE);name;phase_estimation;1.0000;93
Qualtran/qualtran/bloqs/phase_estimation/text_book_qpe.py;/pennylane/pennylane.templates.subroutines.qpe.QuantumPhaseEstimation;Quantum Phase Estimation (QPE);summary;!/usr/bin/env python coding: utf-8 Textbook Quantum Phase Estimation In[ ]: `TextbookQPE` Phase Estimation algorithm as presented in Chapter 5.2 of Ne...;0.6578;0
Qualtran/qualtran/bloqs/phase_estimation/text_book_qpe.py;/qiskit-algorithms/qiskit_algorithms.amplitude_estimators.ae.AmplitudeEstimation;Quantum Amplitude Estimation;summary;!/usr/bin/env python coding: utf-8 Textbook Quantum Phase Estimation In[ ]: `TextbookQPE` Phase Estimation algorithm as presented in Chapter 5.2 of Ne...;0.6692;0
Qualtran/qualtran/bloqs/phase_estimation/text_book_qpe.py;/qiskit-algorithms/qiskit_algorithms.phase_estimators.ipe.IterativePhaseEstimation;Quantum Phase Estimation (QPE);summary;!/usr/bin/env python coding: utf-8 Textbook Quantum Phase Estimation In[ ]: `TextbookQPE` Phase Estimation algorithm as presented in Chapter 5.2 of Ne...;0.7101;0
Qualtran/qualtran/bloqs/phase_estimation/text_book_qpe.py;/qiskit-algorithms/qiskit_algorithms.phase_estimators.phase_estimation.PhaseEstimation;Quantum Phase Estimation (QPE);summary;!/usr/bin/env python coding: utf-8 Textbook Quantum Phase Estimation In[ ]: `TextbookQPE` Phase Estimation algorithm as presented in Chapter 5.2 of Ne...;0.6800;0
