Framework,Concept,Matches
Classiq,...hadamard_transform,59
Qiskit-algorithms,...QAOA,27
Classiq,...apply_to_all,23
Qiskit-algorithms,...VQE,22
Classiq,...qft,20
Qiskit,...QFT,20
Pennylane,...QFT,20
Classiq,...suzuki_trotter,18
Classiq,...qpe,18
Qiskit_machine_learning,...NeuralNetworkClassifier,12
Qiskit_machine_learning,...QSVC,11
Qiskit,...PhaseOracle,11
Classiq,...phase_oracle,11
Qiskit,...GroverOperator,10
Classiq,...grover_operator,10
Pennylane,...GroverOperator,10
Qiskit,...AND,10
Qiskit-algorithms,...SamplingVQE,10
Qiskit,...RealAmplitudes,9
Qiskit-algorithms,...IterativeAmplitudeEstimation,9
