File Name,Pattern Match
qiskit_algorithms/variational_algorithm.py,Variational Quantum Eigensolver (VQE)
qiskit_algorithms/amplitude_amplifiers/amplification_problem.py,Grover
qiskit_algorithms/amplitude_amplifiers/amplification_problem.py,Initialization
qiskit_algorithms/amplitude_amplifiers/amplification_problem.py,Oracle
qiskit_algorithms/amplitude_amplifiers/amplification_problem.py,Amplitude Amplification
qiskit_algorithms/amplitude_amplifiers/amplitude_amplifier.py,Oracle
qiskit_algorithms/amplitude_amplifiers/__init__.py,Grover
qiskit_algorithms/amplitude_amplifiers/grover.py,Grover
qiskit_algorithms/amplitude_amplifiers/grover.py,Initialization
qiskit_algorithms/amplitude_amplifiers/grover.py,Oracle
qiskit_algorithms/amplitude_amplifiers/grover.py,Amplitude Amplification
qiskit_algorithms/time_evolvers/pvqd/pvqd.py,Uncompute
qiskit_algorithms/time_evolvers/pvqd/pvqd.py,Variational Quantum Eigensolver (VQE)
qiskit_algorithms/amplitude_estimators/amplitude_estimator.py,Initialization
qiskit_algorithms/amplitude_estimators/amplitude_estimator.py,Oracle
qiskit_algorithms/amplitude_estimators/amplitude_estimator.py,Grover
qiskit_algorithms/amplitude_estimators/fae.py,Amplitude Amplification
qiskit_algorithms/amplitude_estimators/fae.py,Initialization
qiskit_algorithms/amplitude_estimators/fae.py,Angle Encoding
qiskit_algorithms/amplitude_estimators/fae.py,Oracle
qiskit_algorithms/amplitude_estimators/fae.py,Quantum Phase Estimation (QPE)
qiskit_algorithms/amplitude_estimators/fae.py,Grover
qiskit_algorithms/amplitude_estimators/mlae.py,Amplitude Amplification
qiskit_algorithms/amplitude_estimators/mlae.py,Initialization
qiskit_algorithms/amplitude_estimators/mlae.py,Oracle
qiskit_algorithms/amplitude_estimators/mlae.py,Quantum Phase Estimation (QPE)
qiskit_algorithms/amplitude_estimators/mlae.py,Grover
qiskit_algorithms/amplitude_estimators/estimation_problem.py,Initialization
qiskit_algorithms/amplitude_estimators/estimation_problem.py,Angle Encoding
qiskit_algorithms/amplitude_estimators/estimation_problem.py,Oracle
qiskit_algorithms/amplitude_estimators/estimation_problem.py,Grover
qiskit_algorithms/amplitude_estimators/ae.py,Amplitude Amplification
qiskit_algorithms/amplitude_estimators/ae.py,Initialization
qiskit_algorithms/amplitude_estimators/ae.py,Oracle
qiskit_algorithms/amplitude_estimators/ae.py,Quantum Phase Estimation (QPE)
qiskit_algorithms/amplitude_estimators/ae.py,Grover
qiskit_algorithms/amplitude_estimators/iae.py,Amplitude Amplification
qiskit_algorithms/amplitude_estimators/iae.py,Initialization
qiskit_algorithms/amplitude_estimators/iae.py,Angle Encoding
qiskit_algorithms/amplitude_estimators/iae.py,Oracle
qiskit_algorithms/amplitude_estimators/iae.py,Quantum Phase Estimation (QPE)
qiskit_algorithms/amplitude_estimators/iae.py,Grover
